,F0,F1,F2,F3,F4,F5,F6,F7
E1,0.7404537020719154,0.23351557823824529,-0.0778768310740063,-0.46110342377101216,-0.0014222146278667972,-0.37125685125357333,-0.16932422308837047,0.014352724478885148
E2,-0.699005223051137,-0.27110184298134526,0.19576863403246042,0.5199060739717758,0.05591840427005213,0.27798916246812516,-0.19787222080919653,0.033955902855006805
E3,0.9084073834764427,0.3079077381773432,-0.056804163165098086,-0.17723518026036392,-0.05407582084684879,-0.1294405849669371,-0.11011781444156732,0.016922691135419946
E4,-0.7873398854087916,-0.23254492013540312,-0.011504535072055472,0.4107339081063355,0.00964813669847009,0.30881105444871143,-0.19752520347197852,-0.040028197087059875
E5,0.8332209125385213,0.2304757839552584,-0.2136709567447332,-0.35036576691289806,-0.0686660331251905,-0.2557410385397645,-0.016910246381013714,0.014768208730757367
E6,-0.7783675219530166,0.004579139667316114,0.18263839082905783,0.4263482062869894,0.052250194511144016,0.17113204036540688,-0.31614760902103556,0.02999059529961558
E7,0.8073288440994084,0.2717858772401864,-0.12073924381243219,-0.39408053227824436,-0.07612591288568321,-0.27341357705573116,-0.061363286875725655,0.02975525661009666
E8,-0.6044976599217743,-0.1977432873078365,-0.00853706858032861,0.5844216905701669,-0.14660937770650523,0.4278218352705744,-0.06973012631801781,-0.04487836210713666
E9,0.7011745484853337,0.11936506910093071,-0.041742083989393296,-0.5245291450643547,0.05664584622364813,-0.42355950746376253,-0.12135934495182535,0.027719321062643222
E10,-0.810089991965578,-0.23210128005552694,-0.03733121130453038,0.3729774895653261,0.001532841563996665,0.27469031216190903,-0.14510855458131922,-0.09424960156420549
N1,-0.6263957047961343,0.12019403710847906,-0.6995615499258355,-0.1493496821726767,-0.029947456020623642,-0.18965941817871476,0.138563068902399,-0.10077133283110788
N2,0.5840268292559273,-0.05496058445557598,0.5656298433258697,0.035640080904104726,-0.015022838218148453,0.2489000337434212,-0.46895970969557627,-0.05297504044552111
N3,-0.515482140973785,0.06761248210529584,-0.7901081257438407,-0.035770062851377904,-0.038867197769982355,-0.08706979757492968,0.06842706950294898,-0.11180339859897953
N4,0.5376196002367943,0.1140302735660367,0.4487062493969881,0.18079408360018556,0.02414174350815149,-0.040132401276859776,-0.40809955096458567,-0.3350188438315718
N5,-0.6781588342980712,0.24299057016142078,-0.5410030443002283,-0.279527930433691,0.09093564120102307,-0.22740120687996662,-0.10636553387485435,-0.14009161168689496
N6,-0.6438239906223342,0.15277922290808346,-0.665797461566411,-0.23883370467977577,0.026832333467940457,-0.22289801874284226,-0.03170004499009553,-0.03823685945371229
N7,-0.6253131918051266,0.058172250932914275,-0.5698139229930372,-0.37932228550866876,0.04311832795111559,-0.2787789728846356,-0.10729712578059841,0.19260532113990825
N8,-0.6397653111944785,0.05833451315836673,-0.5495400000827076,-0.373525355968216,0.04252750026199556,-0.2773121943936521,-0.09241115759064472,0.20680347206776656
N9,-0.693245015993722,0.018855019084381388,-0.5196612502792854,-0.2625131301746965,-0.05801530277111316,-0.40730643449076026,-0.009146757445767498,-0.07894833447115691
N10,-0.7670210146821842,-0.1079071146443374,-0.5195629403382785,-0.23115387694406167,-0.01683006548578522,-0.06809539795208745,0.043112785289911935,0.213542305556707
A1,-0.4501943127527896,-0.04248318931001859,0.40002570157817313,-0.07968903379731389,0.18354395508356727,-0.511115259368178,-0.4911014530444194,0.13449520571340917
A2,0.7223867972865355,0.23512414537305074,-0.49600029913293475,-0.20440125770018075,-0.14666890038822805,0.2931856532863349,-0.01795416333941602,-0.0469111932849314
A3,-0.4757350307506138,-0.2147909161969331,0.14511910404312273,-0.5409307903045771,-0.23584946511657337,-0.5226577792366333,-0.04064334899786119,-0.20556216392826757
A4,0.4017161941778504,0.26518531172030796,-0.6614823469927457,0.08529647135589363,0.008601169362944519,0.5174349208560036,-0.10800013366697978,0.019959289237707574
A5,-0.5183720265703821,-0.2779387702978345,0.5743547197310648,0.03122283890241572,0.065635435416118,-0.5208979449434155,-0.1801858712649244,-0.033338602901191054
A6,0.2312897928802669,0.36298442307433687,-0.7045574437732637,0.09941520112806991,0.12333037446314501,0.4562742589558214,-0.24446162602517282,0.004181644784817766
A7,-0.6942384330759063,-0.28200038208228667,0.4612892181574618,0.11115149918663737,0.06996980090155624,-0.3870877715475841,-0.1883660518812863,0.02100937060405731
A8,0.5626896552056218,0.22449729062143994,-0.6029456649422132,0.08584336883484192,-0.125752864464173,0.4691512509976681,-0.13369176973560273,-0.0036838967306092106
A9,0.4428187035000764,0.23900717868410185,-0.712082694384222,0.027886008962051123,0.05392890919271418,0.4024180284220117,-0.17779727895266584,0.06847063128093399
A10,0.831035599513304,0.17490396436829392,-0.34855875246510337,-0.0046520556492267275,0.040579677765601466,0.10225141877515605,-0.34443109243214126,0.04499351169647789
C1,0.5088029685222644,-0.21454446404261485,-0.12085085192581053,0.6794859414646587,-0.1158112510452321,-0.37037007696010993,-0.09028206073763001,-0.05297090532299715
C2,-0.23322011258569203,-0.040147868953047235,-0.06455765265400275,-0.7838792365676717,-0.28696264304065383,0.3378377119432849,-0.2524899203402035,-0.19842864854655684
C3,0.3734358098951937,-0.4669204593007947,-0.3859163356834655,0.5241852248362953,-0.11336000397310318,-0.18972525670227813,-0.21209985961908,0.035540299698531085
C4,-0.6221542732761159,0.040519783901058794,-0.18599846195896838,-0.6981044848454417,-0.12735720703125225,0.15912601915871905,-0.17470769169754907,-0.0980472254693435
C5,0.46307132893835573,0.09876625042814463,-0.10277421033758849,0.7409052884892591,0.09296775026352606,-0.3732342868580585,-0.08808272490409083,0.07573486868680662
C6,-0.3932004305223135,0.022281659787831167,-0.05883749101083049,-0.762776926145952,-0.1695394671151346,0.3090877323066513,-0.28286151202447496,-0.18504730093689722
C7,0.1871129909096423,-0.15102509470767073,-0.309682609075224,0.7199366890790061,-0.12292960914424447,-0.3782205861728045,0.08966411827439384,-0.2572211094085485
C8,-0.6545420040474148,0.07124970011708298,0.06477226832886464,-0.6606283596366843,-0.03053023314605888,0.0937135540276589,-0.2539169721829631,0.04727964068844719
C9,0.3952722514251531,0.03178884751931278,-0.2871664819321977,0.7143790749344395,-0.07850116953729724,-0.39846318730132657,-0.02398414925820467,-0.1357107165446242
C10,0.4468939228055113,-0.3715498856709829,-0.3095603281405035,0.5482377158191548,-0.16764448959040854,-0.30035578360861637,-0.23377654099541081,-0.012062136513925145
O1,0.28393935136174053,-0.8230483572624903,-0.11997899183773154,-0.19675648273865323,-0.3657279291247635,-0.03256878777182004,0.13346719903243032,-0.05039868890287675
