,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11
HSinc5,-0.2632290783437899,0.37781682226914537,0.28604855468574836,0.2014800501188475,-0.6736109516773866,0.0808625477528649,0.03559979458671943,-0.194453021422047,-0.28205698021405146,0.040573095530514004,-0.004321300929579497,-0.026455601437118236
HMode5,0.09863483476640092,0.14493098588654527,0.1990510189327752,0.3670665076263765,-0.78062505227537,0.15650200441462392,-0.02733696836228245,-0.12052160047613984,-0.30661026221349136,-0.018652334600592332,0.12907087401054002,0.022709064581076813
HGree10,0.05529205499042986,0.35757885458046884,0.14659670802515162,0.2982066341639893,-0.7379641404733314,0.14220415232899866,-0.031452247909677086,-0.22234931505342573,-0.30381543838616243,-0.020610624713589838,0.08746916706231547,0.0301756803881078
HSinc3,-0.2529497793327572,0.21540633448120217,0.2363100949048114,0.3371979010527215,-0.6254989630696574,0.1876553658411639,0.12055285744284051,-0.1662638804708508,-0.38929309548877755,0.10140596834554648,0.05092324103315044,0.03198982428275638
HGree4,0.111167825436175,0.15996049825592626,0.20390007496657853,0.40882257428428775,-0.7564406304405595,0.2103757429617083,0.009878959404635743,-0.10297586308979108,-0.25748295917962577,0.03116818308796768,0.13952087735047716,0.02358446424177378
AGent10,0.29986695184290996,0.4791885180922982,0.284835608751887,0.3311264859153199,-0.6374542655427418,-0.013650369571707224,0.06834938066286193,-0.10163779204848224,-0.22584116427846698,-0.10835162416473776,-0.03070568443761704,-0.0091397852351001
AGent8,0.21197147244211506,0.41825094476731106,0.5902665052148235,0.0936654370686188,-0.6001015246888745,0.0011233183143004649,0.04739309477055748,-0.10394586343968004,-0.15673462795502538,-0.08764920982644984,-0.015330991279075185,-0.00899723579821982
HFair7,-0.24643790519735545,0.31838605569494494,0.2954873746925509,0.08275199821798346,-0.719379190149804,0.02319282013934151,0.08632126667877288,-0.14897333179338018,-0.26529576151750695,0.08256141451675245,0.05244032949156127,0.017073603961586904
HSinc7,-0.17717269846221426,0.5548931047606925,0.10181139761428065,0.23158369871740422,-0.6508204183822474,-0.05237274901887513,0.06698547847157459,-0.13841590945789234,-0.24557806239488514,0.0946252382993413,-0.04436621351664368,0.0011512378029140099
EAnxi4,-0.2012251164626828,0.10290580038353724,0.817890671434553,0.14366447114456207,0.4622803383220935,0.0973325666433124,-0.004786310949207936,0.08704976753350673,0.06487153982370937,0.008233316581513678,0.027726437617142587,0.018723713483585175
EDepe1,-0.21768352598528581,0.09030373779711724,0.7547049753489213,0.052342065879906176,0.44546867512986743,0.2516021427827334,0.09561357845117033,0.05790944012813949,-0.12676768340176478,-0.016306002613971356,0.09698294516211861,0.0499477841491218
EAnxi5,-0.13935125496266582,0.38890070950509714,0.8222392753966729,-0.017218022764829175,0.4004529845213178,0.06953263082998012,0.03288807528131596,0.0757281587424733,-0.028916948677108027,0.07431732921778804,-0.013572593667884011,0.016532905840808465
EAnxi2,-0.09051595257740992,0.23693558636205675,0.697649236074776,0.2590800053532668,0.5145396771811965,0.06274807991189006,0.05338611141188166,0.1782872899600457,-0.03701842261678119,0.027090876863623825,0.050871500816437,0.0550579240752295
EAnxi3,-0.09244615084894069,0.357279623426396,0.8074892437272094,0.23158009171328892,0.3634150208326357,0.012652249839773538,0.07535721842429978,0.13580191328708463,0.0482092056750788,0.06872769634617788,0.022216682483117194,0.03634174396188257
EAnxi1,-0.24911560454309,0.26061395752123706,0.726427009457567,0.1945547010315574,0.42016271010355016,0.08836113250434625,0.03577605755382485,0.2098312980866411,-0.0724431535684671,0.03336460765979104,-0.005631963253132351,0.0629754082562153
EAnxi6,-0.008928381023198154,-0.2793563356575347,-0.6851114808684545,-0.2569394575152661,-0.5120389757149739,-0.005388925276725377,-0.09322600862595011,-0.17170203353422464,-0.01898616731198192,-0.07418216975937927,-0.08446583796784514,-0.06400226349533039
ESent10,-0.12093710876523953,0.14582181703542887,-0.8211187028096258,0.05114495324092036,-0.4395809891745902,-0.02724725301194933,-0.04656211498667453,0.03563885857704338,-0.1678434265085562,-0.07133552971767826,-0.0701102961483189,-0.007323247926289287
EDepe8,-0.07988646598895587,-0.2515734339350258,0.7118341233006911,-0.011261280931870019,0.4306760005397479,0.3597212174571288,0.03466153330418884,0.02865940185896176,-0.11170861696153524,-0.0799936595819972,0.08228769172896407,0.02546715499794853
CPrud3,0.4026053123864721,0.14887966848416792,-0.27936144875088653,0.5659623583583085,0.15540458968675505,0.6011090969782804,-0.11801252453377126,0.033987342385593804,0.04962218075999174,-0.039789776802905095,-0.027258519080451855,0.010079287999196329
CPrud2,0.4172476654715482,-0.0380382258545897,-0.3692356630958103,0.5268793870842178,0.1239327602636729,0.5854230884669918,-0.1325446709512445,0.030987637628675603,0.1181081669048699,-0.017854378463293383,-0.03041463326939801,0.03004077520703307
COrga1,0.22351545932921582,0.06519424058147477,-0.39898685834130027,0.48624511866890774,0.16558595782147723,0.5931781547502653,-0.05348577793524361,-0.1793503677085333,0.2286425055000154,0.08849376957220292,-0.10677717855635364,-0.037022428247448246
COrga3,0.32964543626957876,0.2546542049007001,-0.2390578450948408,0.5644822238862528,0.22031806100826873,0.5803328347102038,-0.03512566697649087,-0.007427700104738288,0.03160214979372666,-0.09941101490461317,-0.08188763631565812,-0.04716851332892677
CPerf2,0.22376136605920613,0.00565777144621391,-0.11996659820275103,0.798116645093149,0.09771994653844869,0.4780851303397048,-0.09467037109493376,0.002538228937067895,0.07728191545092385,-0.025727970447879882,-0.006080899671529765,0.00634468198090857
COrga4,0.12647400021670127,-0.06842084429189099,-0.27547498569480583,0.5350184555106915,0.17484703992488365,0.6169113895521713,-0.02021138159605433,-0.22015245671145253,0.2474073899629364,0.08453096393363875,-0.11809165903953343,-0.04394319989559055
CDili3,0.357729088660422,-0.0347150755690661,-0.3267321324909943,0.8055507807608786,0.02488832455048929,0.29752879766741414,-0.060145870828554764,0.009526599798577109,0.022492815738510384,-0.09063139930759007,-0.006070496178028422,-0.008733342943502037
CPrud1,0.2999207225565493,0.17708983596788444,-0.35065998126093767,0.7346712324583408,0.10715420260794038,0.30618374863696196,-0.10248265540693625,0.03748417551682494,-0.0888182238930233,-0.16695668226820215,0.05241402944500288,0.016539732347524778
